#temperature magnetization energy Cv Chi Tc
 +0.263333 +1.000000 -2.000000 +0.000000 +0.000000 +2.269180
 +0.426667 +1.000000 -2.000000 +0.000000 +0.000000 +2.269180
 +0.590000 +0.999998 -1.999990 +0.000000 +0.000000 +2.269180
 +0.753333 +0.999950 -1.999800 +0.000001 +0.000000 +2.269180
 +0.916667 +0.999665 -1.998673 +0.000003 +0.000000 +2.269180
 +1.080000 +0.998660 -1.994795 +0.000009 +0.000001 +2.269180
 +1.243333 +0.996175 -1.985414 +0.000020 +0.000002 +2.269180
 +1.406667 +0.991080 -1.966987 +0.000036 +0.000004 +2.269180
 +1.570000 +0.982080 -1.936288 +0.000057 +0.000009 +2.269180
 +1.733333 +0.966450 -1.887085 +0.000091 +0.000019 +2.269180
 +1.896667 +0.938546 -1.810931 +0.000144 +0.000054 +2.269180
 +2.060000 +0.888729 -1.698351 +0.000213 +0.000161 +2.269180
 +2.223333 +0.761615 -1.516638 +0.000322 +0.001075 +2.269180
 +2.386667 +0.002089 -1.215385 +0.000281 +0.018742 +2.269180
 +2.550000 +0.009278 -1.064651 +0.000199 +0.004208 +2.269180
 +2.713333 +0.001810 -0.954515 +0.000138 +0.002375 +2.269180
 +2.876667 +0.008445 -0.870126 +0.000114 +0.001444 +2.269180
 +3.040000 +0.002947 -0.802547 +0.000089 +0.000825 +2.269180
 +3.203333 -0.000968 -0.743573 +0.000079 +0.000643 +2.269180
 +3.366667 +0.000160 -0.695031 +0.000068 +0.000494 +2.269180
 +3.530000 +0.000842 -0.652721 +0.000057 +0.000401 +2.269180
 +3.693333 -0.000682 -0.615265 +0.000054 +0.000360 +2.269180
 +3.856667 +0.001327 -0.582852 +0.000049 +0.000285 +2.269180
 +4.020000 -0.000402 -0.554356 +0.000039 +0.000254 +2.269180
 +4.183333 +0.000343 -0.527600 +0.000039 +0.000225 +2.269180
 +4.346667 +0.001716 -0.504922 +0.000034 +0.000211 +2.269180
 +4.510000 +0.000655 -0.481878 +0.000030 +0.000175 +2.269180
 +4.673333 +0.000873 -0.462780 +0.000029 +0.000168 +2.269180
 +4.836667 +0.000430 -0.445206 +0.000026 +0.000151 +2.269180
 +5.000000 +0.000186 -0.426426 +0.000025 +0.000142 +2.269180
